iter	MultiClass
0	0.8567348806
1	0.7137376936
2	0.6227999963
3	0.5589803541
4	0.5152847891
5	0.4830272765
6	0.4642114224
7	0.4416287442
8	0.4323777462
9	0.4254513592
10	0.4122511599
11	0.4038246895
12	0.3998582417
13	0.3917100726
14	0.3842216113
15	0.3750584035
16	0.3702277907
17	0.3655618896
18	0.3585589692
19	0.3531158589
20	0.346934692
21	0.3446947696
22	0.3403414429
23	0.3367045281
24	0.3319136886
25	0.3284572311
26	0.3259501596
27	0.3226184174
28	0.3198663831
29	0.3153365156
30	0.312836642
31	0.3099430158
32	0.3064307943
33	0.3032846473
34	0.3012849652
35	0.2982216856
36	0.2972381212
37	0.2947935335
38	0.2930521337
39	0.29018323
40	0.2866772858
41	0.2840744212
42	0.2826589499
43	0.2805405392
44	0.2775634386
45	0.2749150161
46	0.2730717523
47	0.2714248281
48	0.2692901544
49	0.2667384531
50	0.2646978421
51	0.2631889225
52	0.2618608632
53	0.2604425709
54	0.2585621713
55	0.2562515739
56	0.2545238404
57	0.2530391079
58	0.2518130496
59	0.249654771
60	0.2487174369
61	0.2469464629
62	0.2451574331
63	0.2441784514
64	0.2427410217
65	0.2412721391
66	0.2401394733
67	0.238339006
68	0.23772861
69	0.2360088035
70	0.2344110032
71	0.2327564914
72	0.2319784025
73	0.2313574127
74	0.2299677511
75	0.2288122928
76	0.2270405779
77	0.226081353
78	0.2237129836
79	0.2223409563
80	0.2210577692
81	0.2202628685
82	0.2193480271
83	0.2180185541
84	0.217671247
85	0.2172183503
86	0.2161409838
87	0.2147141327
88	0.2135805159
89	0.2127267056
90	0.2118323179
91	0.2113000107
92	0.2102252319
93	0.2088987149
94	0.2076385868
95	0.2064309768
96	0.2054497077
97	0.2042317359
98	0.2037075996
99	0.2028616793
100	0.2016916167
101	0.2010187566
102	0.2004738208
103	0.1994276017
104	0.1987092611
105	0.1971747048
106	0.1958713192
107	0.1953654063
108	0.1943404931
109	0.1938295197
110	0.1930780392
111	0.1924595675
112	0.1910748333
113	0.1902600065
114	0.189332825
115	0.1886071808
116	0.1871280875
117	0.1859749517
118	0.1852362012
119	0.1839177085
120	0.1835290592
121	0.1825727713
122	0.1820198674
123	0.1813900221
124	0.1806384734
125	0.1796246932
126	0.1787278579
127	0.1775832729
128	0.177036676
129	0.1761605414
130	0.1748381501
131	0.1744026615
132	0.1728318706
133	0.1719848711
134	0.1713794767
135	0.1706053647
136	0.1698907369
137	0.1694065036
138	0.1688352401
139	0.1682806332
140	0.1675722567
141	0.1663620699
142	0.1659153467
143	0.1652824624
144	0.1647161893
145	0.1641293482
146	0.1636945478
147	0.1626175541
148	0.1612956722
149	0.1607279785
150	0.1603499824
151	0.1590312809
152	0.1582720083
153	0.1575471996
154	0.1572361229
155	0.1563856332
156	0.1558401307
157	0.1552043144
158	0.1545714442
159	0.1540019252
160	0.1527730124
161	0.1522398798
162	0.1518076862
163	0.1515220309
164	0.1509050206
165	0.1503548461
166	0.1495443884
167	0.148999078
168	0.1486312079
169	0.1478261681
170	0.1475992179
171	0.1467818091
172	0.1460637819
173	0.1452547372
174	0.1446126725
175	0.1443259743
176	0.1438914363
177	0.1433603744
178	0.1428276321
179	0.142172259
180	0.1416371246
181	0.1413198003
182	0.1403251107
183	0.1395561343
184	0.1391925863
185	0.1389801303
186	0.1385534026
187	0.1380658368
188	0.1375472664
189	0.1371156138
190	0.1365952506
191	0.1354668764
192	0.1350541986
193	0.1343975083
194	0.1337272226
195	0.1334251736
196	0.1332596088
197	0.1325698043
198	0.1319882778
199	0.1312479798
