iter	Passed	Remaining
0	1	386
1	3	367
2	5	352
3	7	343
4	8	337
5	10	334
6	12	332
7	13	331
8	15	330
9	17	327
10	18	326
11	20	322
12	22	318
13	23	317
14	25	316
15	27	316
16	29	315
17	31	314
18	32	311
19	34	309
20	36	307
21	37	304
22	39	303
23	41	301
24	42	299
25	44	298
26	46	297
27	48	295
28	49	294
29	51	292
30	53	290
31	54	287
32	56	286
33	58	284
34	60	283
35	61	281
36	63	280
37	65	279
38	67	277
39	69	276
40	70	274
41	72	273
42	74	270
43	76	270
44	77	267
45	79	266
46	81	264
47	82	262
48	84	260
49	86	259
50	88	257
51	89	255
52	91	254
53	93	252
54	96	254
55	98	252
56	100	251
57	101	249
58	103	247
59	105	245
60	106	243
61	108	241
62	110	240
63	112	238
64	113	236
65	115	234
66	117	232
67	118	230
68	120	229
69	122	227
70	125	227
71	126	225
72	128	223
73	130	222
74	132	220
75	133	218
76	135	216
77	137	214
78	139	213
79	141	211
80	142	209
81	144	207
82	146	206
83	147	204
84	149	202
85	151	200
86	153	199
87	154	197
88	156	195
89	158	193
90	160	191
91	161	189
92	163	187
93	165	186
94	166	184
95	168	182
96	170	181
97	172	179
98	173	177
99	175	175
100	177	174
101	179	172
102	180	170
103	182	168
104	184	166
105	186	164
106	187	163
107	190	162
108	192	160
109	194	159
110	196	157
111	197	155
112	199	153
113	201	151
114	203	150
115	204	148
116	206	146
117	208	144
118	209	142
119	211	141
120	213	139
121	215	137
122	216	135
123	218	134
124	220	132
125	222	130
126	223	128
127	225	126
128	227	125
129	228	123
130	231	121
131	232	120
132	234	118
133	236	116
134	238	114
135	239	112
136	241	111
137	243	109
138	245	107
139	247	106
140	250	104
141	252	103
142	255	101
143	258	100
144	261	99
145	265	98
146	268	96
147	271	95
148	274	93
149	277	92
150	279	90
151	282	89
152	284	87
153	287	85
154	289	84
155	291	82
156	295	80
157	297	79
158	300	77
159	302	75
160	307	74
161	310	72
162	313	71
163	316	69
164	318	67
165	320	65
166	324	64
167	328	62
168	332	61
169	335	59
170	337	57
171	340	55
172	343	53
173	345	51
174	350	50
175	354	48
176	356	46
177	359	44
178	361	42
179	363	40
180	365	38
181	367	36
182	369	34
183	372	32
184	374	30
185	377	28
186	379	26
187	382	24
188	384	22
189	386	20
190	389	18
191	391	16
192	392	14
193	394	12
194	396	10
195	398	8
196	399	6
197	402	4
198	404	2
199	406	0
