,Ticker,Company Name,Industry,Sub-Industry,Date Added,Founded
0,MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,1902
1,AOS,A. O. Smith,Building Products,"Milwaukee, Wisconsin",2017-07-26,1916
2,ABT,Abbott Laboratories,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1888
3,ABBV,AbbVie,Biotechnology,"North Chicago, Illinois",2012-12-31,2013 (1888)
4,ACN,Accenture,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1989
5,ADBE,Adobe Inc.,Application Software,"San Jose, California",1997-05-05,1982
6,AMD,Advanced Micro Devices,Semiconductors,"Santa Clara, California",2017-03-20,1969
7,AES,AES Corporation,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,1981
8,AFL,Aflac,Life & Health Insurance,"Columbus, Georgia",1999-05-28,1955
9,A,Agilent Technologies,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1999
10,APD,Air Products,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,1940
11,ABNB,Airbnb,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,2008
12,AKAM,Akamai Technologies,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1998
13,ALB,Albemarle Corporation,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,1994
14,ARE,Alexandria Real Estate Equities,Office REITs,"Pasadena, California",2017-03-20,1994
15,ALGN,Align Technology,Health Care Supplies,"Tempe, Arizona",2017-06-19,1997
16,ALLE,Allegion,Building Products,"Dublin, Ireland",2013-12-02,1908
17,LNT,Alliant Energy,Electric Utilities,"Madison, Wisconsin",2016-07-01,1917
18,ALL,Allstate,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,1931
19,GOOGL,Alphabet Inc. (Class A),Interactive Media & Services,"Mountain View, California",2014-04-03,1998
20,GOOG,Alphabet Inc. (Class C),Interactive Media & Services,"Mountain View, California",2006-04-03,1998
21,MO,Altria,Tobacco,"Richmond, Virginia",1957-03-04,1985
22,AMZN,Amazon,Broadline Retail,"Seattle, Washington",2005-11-18,1994
23,AMCR,Amcor,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,2019 (1860)
24,AEE,Ameren,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1902
25,AEP,American Electric Power,Electric Utilities,"Columbus, Ohio",1957-03-04,1906
26,AXP,American Express,Consumer Finance,"New York City, New York",1976-06-30,1850
27,AIG,American International Group,Multi-line Insurance,"New York City, New York",1980-03-31,1919
28,AMT,American Tower,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1995
29,AWK,American Water Works,Water Utilities,"Camden, New Jersey",2016-03-04,1886
30,AMP,Ameriprise Financial,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,1894
31,AME,Ametek,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1930
32,AMGN,Amgen,Biotechnology,"Thousand Oaks, California",1992-01-02,1980
33,APH,Amphenol,Electronic Components,"Wallingford, Connecticut",2008-09-30,1932
34,ADI,Analog Devices,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965
35,ANSS,Ansys,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1969
36,AON,Aon,Insurance Brokers,"London, UK",1996-04-23,1982 (1919)
37,APA,APA Corporation,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,1954
38,APO,Apollo Global Management,Asset Management & Custody Banks,"New York City, New York",2024-12-23,1990
39,AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,1977
40,AMAT,Applied Materials,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,1967
41,APTV,Aptiv,Automotive Parts & Equipment,"Dublin, Ireland",2012-12-24,1994
42,ACGL,Arch Capital Group,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,1995
43,ADM,Archer Daniels Midland,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,1902
44,ANET,Arista Networks,Communications Equipment,"Santa Clara, California",2018-08-28,2004
45,AJG,Arthur J. Gallagher & Co.,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,1927
46,AIZ,Assurant,Multi-line Insurance,"Atlanta, Georgia",2007-04-10,1892
47,T,AT&T,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,1983 (1885)
48,ATO,Atmos Energy,Gas Utilities,"Dallas, Texas",2019-02-15,1906
49,ADSK,Autodesk,Application Software,"San Francisco, California",1989-12-01,1982
50,ADP,Automatic Data Processing,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,1949
51,AZO,AutoZone,Automotive Retail,"Memphis, Tennessee",1997-01-02,1979
52,AVB,AvalonBay Communities,Multi-Family Residential REITs,"Arlington, Virginia",2007-01-10,1978
53,AVY,Avery Dennison,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",1987-12-31,1935
54,AXON,Axon Enterprise,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,1993
55,BKR,Baker Hughes,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,2017
56,BALL,Ball Corporation,"Metal, Glass & Plastic Containers","Broomfield, Colorado",1984-10-31,1880
57,BAC,Bank of America,Diversified Banks,"Charlotte, North Carolina",1976-06-30,1998 (1923 / 1874)
58,BAX,Baxter International,Health Care Equipment,"Deerfield, Illinois",1972-09-30,1931
59,BDX,Becton Dickinson,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,1897
60,BRK.B,Berkshire Hathaway,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1839
61,BBY,Best Buy,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,1966
62,TECH,Bio-Techne,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-08-30,1976
63,BIIB,Biogen,Biotechnology,"Cambridge, Massachusetts",2003-11-13,1978
64,BLK,BlackRock,Asset Management & Custody Banks,"New York City, New York",2011-04-04,1988
65,BX,Blackstone Inc.,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1985
66,BK,BNY Mellon,Asset Management & Custody Banks,"New York City, New York",1995-03-31,1784
67,BA,Boeing,Aerospace & Defense,"Arlington, Virginia",1957-03-04,1916
68,BKNG,Booking Holdings,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",2009-11-06,1996
69,BWA,BorgWarner,Automotive Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,1880
70,BSX,Boston Scientific,Health Care Equipment,"Marlborough, Massachusetts",1995-02-24,1979
71,BMY,Bristol Myers Squibb,Pharmaceuticals,"New York City, New York",1957-03-04,1989 (1887)
72,AVGO,Broadcom,Semiconductors,"Palo Alto, California",2014-05-08,1961
73,BR,Broadridge Financial Solutions,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,1962
74,BRO,Brown & Brown,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,1939
75,BF.B,Brown–Forman,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,1870
76,BLDR,Builders FirstSource,Building Products,"Irving, Texas",2023-12-18,1998
77,BG,Bunge Global,Agricultural Products & Services,"Chesterfield, Missouri",2023-03-15,1818
78,BXP,"BXP, Inc.",Office REITs,"Boston, Massachusetts",2006-04-03,1970
79,CHRW,C.H. Robinson,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1905
80,CDNS,Cadence Design Systems,Application Software,"San Jose, California",2017-09-18,1988
81,CZR,Caesars Entertainment,Casinos & Gaming,"Reno, Nevada",2021-03-22,1973
82,CPT,Camden Property Trust,Multi-Family Residential REITs,"Houston, Texas",2022-04-04,1981
83,CPB,Campbell Soup Company,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,1869
84,COF,Capital One,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,1994
85,CAH,Cardinal Health,Health Care Distributors,"Dublin, Ohio",1997-05-27,1971
86,KMX,CarMax,Automotive Retail,"Richmond, Virginia",2010-06-28,1993
87,CCL,Carnival,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,1972
88,CARR,Carrier Global,Building Products,"Palm Beach Gardens, Florida",2020-04-03,"2020 (1915, United Technologies spinoff)"
89,CAT,Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,1925
90,CBOE,Cboe Global Markets,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1973
91,CBRE,CBRE Group,Real Estate Services,"Dallas, Texas",2006-11-10,1906
92,CDW,CDW,Technology Distributors,"Vernon Hills, Illinois",2019-09-23,1984
93,CE,Celanese,Specialty Chemicals,"Irving, Texas",2018-12-24,1918
94,COR,Cencora,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1985
95,CNC,Centene Corporation,Managed Health Care,"St. Louis, Missouri",2016-03-30,1984
96,CNP,CenterPoint Energy,Multi-Utilities,"Houston, Texas",1985-07-31,1882
97,CF,CF Industries,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1946
98,CRL,Charles River Laboratories,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,1947
99,SCHW,Charles Schwab Corporation,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,1971
100,CHTR,Charter Communications,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1993
101,CVX,Chevron Corporation,Integrated Oil & Gas,"San Ramon, California",1957-03-04,1879
102,CMG,Chipotle Mexican Grill,Restaurants,"Newport Beach, California",2011-04-28,1993
103,CB,Chubb Limited,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,1985
104,CHD,Church & Dwight,Household Products,"Ewing, New Jersey",2015-12-29,1847
105,CI,Cigna,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1982
106,CINF,Cincinnati Financial,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,1950
107,CTAS,Cintas,Diversified Support Services,"Mason, Ohio",2001-03-01,1929
108,CSCO,Cisco,Communications Equipment,"San Jose, California",1993-12-01,1984
109,C,Citigroup,Diversified Banks,"New York City, New York",1988-05-31,1998
110,CFG,Citizens Financial Group,Regional Banks,"Providence, Rhode Island",2016-01-29,1828
111,CLX,Clorox,Household Products,"Oakland, California",1969-03-31,1913
112,CME,CME Group,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1848
113,CMS,CMS Energy,Multi-Utilities,"Jackson, Michigan",1957-03-04,1886
114,KO,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,1886
115,CTSH,Cognizant,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1994
116,CL,Colgate-Palmolive,Household Products,"New York City, New York",1957-03-04,1806
117,CMCSA,Comcast,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1963
118,CAG,Conagra Brands,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,1919
119,COP,ConocoPhillips,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,2002
120,ED,Consolidated Edison,Multi-Utilities,"New York City, New York",1957-03-04,1823
121,STZ,Constellation Brands,Distillers & Vintners,"Rochester, New York",2005-07-01,1945
122,CEG,Constellation Energy,Electric Utilities,"Baltimore, Maryland",2022-02-02,1999
123,COO,Cooper Companies (The),Health Care Supplies,"San Ramon, California",2016-09-23,1958
124,CPRT,Copart,Diversified Support Services,"Dallas, Texas",2018-07-02,1982
125,GLW,Corning Inc.,Electronic Components,"Corning, New York",1995-02-27,1851
126,CPAY,Corpay,Transaction & Payment Processing Services,"Atlanta, Georgia",2018-06-20,2000
127,CTVA,Corteva,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019-06-03,2019
128,CSGP,CoStar Group,Real Estate Services,"Washington, D.C.",2022-09-19,1987
129,COST,Costco,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,1976
130,CTRA,Coterra,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,2021 (1989)
131,CRWD,CrowdStrike,Systems Software,"Austin, Texas",2024-06-24,2011
132,CCI,Crown Castle,Telecom Tower REITs,"Houston, Texas",2012-03-14,1994
133,CSX,CSX Corporation,Rail Transportation,"Jacksonville, Florida",1957-03-04,1980
134,CMI,Cummins,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1965-03-31,1919
135,CVS,CVS Health,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,1996
136,DHR,Danaher Corporation,Life Sciences Tools & Services,"Washington, D.C.",1998-11-18,1969
137,DRI,Darden Restaurants,Restaurants,"Orlando, Florida",1995-05-31,1938
138,DVA,DaVita,Health Care Services,"Denver, Colorado",2008-07-31,1979
139,DAY,Dayforce,Human Resource & Employment Services,"Minneapolis, Minnesota",2021-09-20,1992
140,DECK,Deckers Brands,Footwear,"Goleta, California",2024-03-18,1973
141,DE,Deere & Company,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,1837
142,DELL,Dell Technologies,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,2016
143,DAL,Delta Air Lines,Passenger Airlines,"Atlanta, Georgia",2013-09-11,1929
144,DVN,Devon Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,1971
145,DXCM,Dexcom,Health Care Equipment,"San Diego, California",2020-05-12,1999
146,FANG,Diamondback Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,2007
147,DLR,Digital Realty,Data Center REITs,"Austin, Texas",2016-05-18,2004
148,DFS,Discover Financial,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1985
149,DG,Dollar General,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",2012-12-03,1939
150,DLTR,Dollar Tree,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",2011-12-19,1986
151,D,Dominion Energy,Multi-Utilities,"Richmond, Virginia",2016-11-30,1983
152,DPZ,Domino's,Restaurants,"Ann Arbor, Michigan",2020-05-12,1960
153,DOV,Dover Corporation,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1985-10-31,1955
