Price,Close,High,Low,Open,Volume
Ticker,ADP,ADP,ADP,ADP,ADP
Date,,,,,
2010-01-04,26.30280876159668,26.738833537404663,26.22297263795417,26.738833537404663,3930120
2010-01-05,26.16156578063965,26.351942414913527,26.020318256072567,26.192270140046343,3252415
2010-01-06,26.10014533996582,26.339651000867484,25.8237901912462,26.284379437459723,3111406
2010-01-07,26.08786392211914,26.100146195688087,25.848355585045752,25.872920132183648,2513317
2010-01-08,26.05101776123047,26.075582311506597,25.81765186528762,26.051017761230465,2310462
2010-01-11,26.167692184448242,26.167692184448242,25.872915008845805,26.051009274489076,2446230
2010-01-12,25.98346710205078,26.186125980043794,25.786948027589855,26.014171456350525,2571293
2010-01-13,26.173839569091797,26.24139340718892,25.829930576044216,25.934331234470886,2546007
2010-01-14,26.10014533996582,26.272097164293463,25.946612922908802,25.9711801375605,2402721
2010-01-15,25.95889663696289,26.35807720782141,25.70096621783543,26.23525180102202,3384880
2010-01-19,26.351938247680664,26.364220523165073,25.793088042340877,25.89748871811819,2931786
2010-01-20,26.001882553100586,26.222966121975087,25.565857885637616,26.06329391436601,4057232
2010-01-21,25.885202407836914,26.339651866563116,25.80536629547269,26.069439179705235,4356106
2010-01-22,25.283363342285156,26.008028166057684,25.240376718364576,25.885202760366298,4463513
2010-01-25,25.344770431518555,25.522864686046685,25.215805258471484,25.504439946332003,2400670
2010-01-26,25.21581268310547,25.344777894125517,25.160541116005632,25.22809495709217,2786905
2010-01-27,25.19123649597168,25.31406186041876,25.013142252425894,25.031566991004397,4096983
2010-01-28,24.982446670532227,25.289506186816745,24.804349696233416,25.031575766206657,4972760
2010-01-29,25.04999542236328,25.289503743111624,24.964019513240817,24.976301785972595,4173866
2010-02-01,25.221956253051758,25.277227828406872,25.000872619951057,25.19739170140943,3638649
2010-02-02,25.289501190185547,25.43689111640727,24.982441734569008,25.43689111640727,4142999
2010-02-03,25.05613899230957,25.191243998287337,24.878042027405538,25.09298581212169,3141704
2010-02-04,24.79821014404297,25.111412134611662,24.79821014404297,24.90875061042755,4410778
2010-02-05,24.73679542541504,24.8719031044899,24.39288909335431,24.761359972825144,4745530
2010-02-08,24.810495376586914,24.91489605255896,24.577129473628187,24.718376976122187,3460738
2010-02-09,24.994728088378906,25.234233755748324,24.84119566717581,25.080704002864472,3358000
2010-02-10,24.982446670532227,25.05614031404387,24.749078129440015,24.921032632619852,2091774
2010-02-11,25.117555618286133,25.2465208487935,24.687670627154993,24.908754260641874,2630407
2010-02-12,24.927169799804688,25.00700322912923,24.742933061907625,24.742933061907625,3429871
2010-02-16,25.36319351196289,25.393900523269483,24.97015817615933,25.111405625196046,2762075
2010-02-17,25.461467742919922,25.48603229756161,25.332502496891014,25.393913883495237,2425842
