Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2010-01-04,133.30763244628906,134.20877460146906,130.55798361815897,130.9739026143615,9135000
2010-01-05,135.66456604003906,135.75698732740466,132.91492696883918,133.2461110835343,11659400
2010-01-06,134.21652221679688,135.07916368499917,133.83141798619985,135.07916368499917,7381100
2010-01-07,136.8428955078125,137.67472181072452,133.977719937486,134.26270497569388,8727400
2010-01-08,134.25503540039062,136.65808204587205,133.97775988341596,135.81085978744002,7268100
2010-01-11,132.13694763183594,134.83267695856009,131.3359360886861,134.83267695856009,7704900
2010-01-12,129.25640869140625,131.30515456894474,128.64793733581365,130.94315559851628,10360100
2010-01-13,130.21913146972656,130.68124942859228,127.9470074336281,129.40270074608162,11269500
2010-01-14,129.80319213867188,131.48995004376323,128.7865233857404,129.39498271672542,10521400
2010-01-15,127.24613952636719,129.24097653375742,126.76090445607575,129.08693719868887,10896300
2010-01-19,128.5170135498047,128.93292104241456,126.23719081480475,127.09212287137333,7705300
2010-01-20,129.23324584960938,129.53362661735687,126.56063385333847,127.7005388498615,8893900
2010-01-21,123.90345001220703,131.70566665743445,120.74560189820652,130.38860481978202,51738300
2010-01-22,118.70452880859375,123.04080637138618,117.26424269197838,122.22438725175503,30175600
2010-01-25,119.36695098876953,121.92404972717112,118.9972540726288,120.25269811909912,17877000
2010-01-26,116.20906829833984,120.53763653318867,116.07042464983935,119.313007774941,15985900
2010-01-27,116.68660736083984,117.78800005976898,114.19883677842043,116.10895088875648,19899000
2010-01-28,118.06524658203125,119.53634752283823,115.49275321333455,118.78924439593408,16160700
2010-01-29,114.54541778564453,119.28990532764163,113.84452517666656,118.95101168143471,18502800
2010-02-01,117.94204711914062,119.57488559645293,114.92283080616195,115.39265852401415,12980800
2010-02-02,120.87654113769531,121.30785607891713,118.34254822934109,118.34254822934109,17246600
2010-02-03,121.09986114501953,123.18713104051763,121.00743989955522,121.63130681133386,16785200
2010-02-04,116.05504608154297,120.19877281995079,115.87790136389263,119.59031309282878,18895000
2010-02-05,118.73532104492188,118.96638589844248,114.66091232676705,116.16282799842762,18759200
2010-02-08,116.3785400390625,119.07427050685392,116.16288254183534,118.82010022388219,10257300
2010-02-09,117.44910430908203,118.25011601833293,115.26170312709186,117.61084152085354,14017300
2010-02-10,118.32711791992188,119.65187728199957,116.88682024865355,117.66473823888303,10555300
2010-02-11,118.65058898925781,119.62875680465044,117.26421172185997,118.92015483830036,11163400
2010-02-12,118.55815887451172,118.99718325000624,116.40928287233544,117.35663579781564,10293200
2010-02-16,121.23085021972656,121.49273012155905,119.07427516312461,119.61341892727509,11497100
2010-02-17,121.12301635742188,121.83931656221804,120.00621608898159,121.69297502831064,10070000
2010-02-18,119.94454956054688,120.60692924757188,119.28987947900595,119.85212831431696,10991100
2010-02-19,120.2911376953125,120.92271420046404,118.98949542087897,119.00489112653115,8693000
2010-02-22,120.69935607910156,121.66981437227221,120.17560828818239,121.07675065022231,7375500
2010-02-23,120.69169616699219,123.39513611865927,120.08323648913145,120.77641959074005,15696000
