Price,Close,High,Low,Open,Volume
Ticker,HLT,HLT,HLT,HLT,HLT
Date,,,,,
2013-12-12,41.8162727355957,42.63314809180767,41.33003654364177,41.42728378203255,12935478
2013-12-13,42.983238220214844,43.52782056836296,41.91351863216231,42.76929502573964,1224854
2013-12-16,41.855167388916016,50.0822774221545,41.855167388916016,44.8892803009061,4717690
2013-12-17,42.419212341308594,42.769303907278754,41.971877135543664,42.03022331942052,2313840
2013-12-18,42.458106994628906,43.13883773799898,42.12746779411996,42.458106994628906,2857846
2013-12-19,43.33332443237305,43.58616868064756,41.913517021295036,42.30250594745499,1469103
2013-12-20,42.65260696411133,43.85847156078158,42.51646224424379,43.76122429925406,994834
2013-12-23,41.93297576904297,43.158289009966666,41.93297576904297,42.80820106213585,1220712
2013-12-24,41.83571243286133,42.146902805428105,41.13553319066711,42.01075814732884,1234064
2013-12-26,42.20525360107422,42.710938420663105,41.91351194181033,41.932960662626066,1309211
2013-12-27,42.010765075683594,42.477552519353594,41.91351784223886,42.010765075683594,1090302
2013-12-30,42.57479476928711,42.73038815518014,42.01076015819437,42.24415204487191,871832
2013-12-31,43.274993896484375,43.702880423569106,42.691510296453735,42.78875756312551,1134308
2014-01-02,42.51645278930664,43.469476463475544,42.34140703434881,43.274981983672774,1763791
2014-01-03,42.80819320678711,42.963786616490175,42.302508297818164,42.39975553476129,461257
2014-01-06,42.78874206542969,43.022133974638436,42.321954631335835,42.76929334227502,1172320
2014-01-07,42.78874206542969,42.983236528329094,42.59424760253028,42.78874206542969,1992593
2014-01-08,42.84709548950195,42.84709548950195,42.39976031849908,42.84709548950195,1154240
2014-01-09,42.53590774536133,42.827649507803585,42.22471725522502,42.788752052415504,459600
2014-01-10,42.18581008911133,42.51644923083205,41.95241456347637,42.32195476730777,812329
2014-01-13,42.24415588378906,42.45809906863146,41.932965468047726,41.932965468047726,728216
2014-01-14,42.983238220214844,43.00268694413504,42.088564378797116,42.22470906191502,1251608
2014-01-15,42.61369705200195,43.11938194102414,42.45810003275985,42.885990027837416,915253
2014-01-16,42.7109375,42.84708215845142,42.185803970914975,42.59424156194509,1130019
2014-01-17,43.274993896484375,43.877926226713825,42.39976849643842,42.71095902665256,2702290
2014-01-21,42.63315200805664,43.93626367592539,42.47755858174466,43.78067024961341,1280214
2014-01-22,43.68342590332031,43.74177208618324,42.59425738409659,42.769303164039755,1428655
2014-01-23,44.07240295410156,44.07240295410156,42.98323473055463,43.625064261872325,936062
2014-01-24,43.663970947265625,43.72231712180578,42.963787927370376,43.4694764674451,891033
2014-01-27,42.7692985534668,43.663972468679646,42.57480406686936,43.663972468679646,1099610
2014-01-28,42.594242095947266,42.78873653370243,42.302500439314514,42.47754615642935,686209
2014-01-29,42.12746810913086,42.55535456189222,41.93297360957078,42.419209858470985,437865
2014-01-30,42.12746810913086,42.438658585291584,42.01077213253022,42.32196260869094,520273
2014-01-31,42.10801696777344,42.18581548627179,41.50508477684563,41.835723960867604,428606
2014-02-03,40.74654769897461,42.20525608100607,40.53260452607856,42.10800885553731,1115010
2014-02-04,40.90214920043945,40.99939643659402,40.532608979916795,40.8437994124761,835770
2014-02-05,40.45481872558594,40.766009221666145,39.968582445561466,40.55206598159083,694786
2014-02-06,41.23279571533203,41.23279571533203,40.49371875807057,40.53261621320326,294103
2014-02-07,42.10801696777344,42.53590339599915,41.27169283702739,41.34948773984891,513012
2014-02-10,41.64122772216797,42.18581371308923,41.42728451704772,42.146912647636746,562427
2014-02-11,42.18581008911133,42.341403490524925,41.738471376734935,42.26360498197994,642446
2014-02-12,42.57479476928711,42.691490712625885,42.049657600748624,42.283053103102176,436647
2014-02-13,42.69150161743164,42.82764631682335,42.10801813602101,42.36085880855945,551608
2014-02-14,42.78874206542969,42.885989296879394,42.51644909423525,42.78874206542969,647856
2014-02-18,42.32194137573242,42.7887286636244,42.26359160886771,42.7887286636244,616179
2014-02-19,41.87462615966797,42.691501586785684,41.816276365298016,42.32196132568884,441033
2014-02-20,41.79682159423828,42.14690946279604,41.44673011000411,41.81627031765653,602096
2014-02-21,43.08048629760742,43.158281194808914,41.757922425709985,41.81627221428768,1166082
2014-02-24,43.29442596435547,43.76120977219105,42.86653960194743,43.19717873511035,743177
2014-02-25,43.50836181640625,43.916799387297615,43.197171458378335,43.27496995180423,823197
