Price,Close,High,Low,Open,Volume
Ticker,NDAQ,NDAQ,NDAQ,NDAQ,NDAQ
Date,,,,,
2010-01-04,5.487512111663818,5.53902507335248,5.395330287465189,5.4007527248978535,6514500
2010-01-05,5.503778457641602,5.509200506278978,5.403462800985133,5.403462800985133,4445100
2010-01-06,5.501067161560059,5.520046272745703,5.465821515128943,5.476666389083638,7340100
2010-01-07,5.427865505218506,5.503780025415081,5.392619851976194,5.490223736430327,8498400
2010-01-08,5.484801292419434,5.503780408594124,5.389909202136468,5.430577684078753,4347600
2010-01-11,5.498356819152832,5.530891442758433,5.449554495901125,5.487511944617632,5364300
2010-01-12,5.403464317321777,5.50378000212914,5.373641490074233,5.465822548269767,5198400
2010-01-13,5.454977512359619,5.463111362467989,5.354661837625223,5.381774412757574,6831900
2010-01-14,5.490222454071045,5.501066939745181,5.403463078088524,5.427864237424324,4493700
2010-01-15,5.465822219848633,5.530891859809651,5.430576956716559,5.482089532878054,6981900
2010-01-19,5.457688331604004,5.487511930420299,5.4332871700412815,5.465821793562708,3156900
2010-01-20,5.403464317321777,5.449555234262903,5.338395061294324,5.427865482253751,5761500
2010-01-21,5.143187046051025,5.419731779575434,5.1242090942889496,5.419731779575434,13422900
2010-01-22,4.972379684448242,5.159453578363374,4.956111984619124,5.126918954391759,11661000
2010-01-25,4.975090980529785,5.040160614792556,4.947978406678372,5.040160614792556,7927800
2010-01-26,4.907308578491211,4.99677896153056,4.907308578491211,4.920865249516268,7707900
2010-01-27,4.975090980529785,4.994069316813813,4.904599296908695,4.912732758789478,9267300
2010-01-28,4.945268154144287,5.02931574997082,4.915444550957111,4.991359071476279,5370300
2010-01-29,4.8774871826171875,5.007626065212936,4.8774871826171875,4.9534013045561105,9038700
2010-02-01,4.994068622589111,5.042870550619764,4.893753742225504,4.920865924464756,12008700
2010-02-02,5.037449836730957,5.075406904845352,4.988647892012449,5.004915206918619,5548800
2010-02-03,5.167588233947754,5.224524028696498,5.075406784989659,5.216390177513804,18415500
2010-02-04,4.977802753448486,5.132342430846041,4.96966929034512,5.132342430846041,11436000
2010-02-05,5.097095966339111,5.099806990994258,4.958823625000873,4.958823625000873,8810100
2010-02-08,4.8937554359436035,5.137765548391484,4.8774881209699705,5.116075407249925,12658200
2010-02-09,4.934422492980957,5.021181093287462,4.8964650478221605,4.958823264476446,17238900
2010-02-10,4.904600620269775,4.9506915428414855,4.858509309854659,4.920867936263895,11768700
2010-02-11,4.920867919921875,4.966958842340519,4.877488410748283,4.888333288041681,9231300
2010-02-12,4.958824157714844,4.988647371341782,4.844952965256522,4.888332467145406,12387600
2010-02-16,5.029316425323486,5.048295542806057,4.953402670297101,5.0022046192848295,9264600
2010-02-17,5.034738063812256,5.067272688793004,4.9832251015144005,5.045582550962516,7142700
2010-02-18,5.0455827713012695,5.056428422455123,4.958824155407214,4.958824155407214,6653100
2010-02-19,5.051004886627197,5.078116683639447,5.013047439986163,5.042871037248894,6201900
2010-02-22,5.023892879486084,5.056427499951935,5.018470054898506,5.0428708263262605,3662400
2010-02-23,4.99949312210083,5.059139555170149,4.985936832517164,5.042872240375777,6428400
2010-02-24,5.042871475219727,5.072695462915941,4.9778022259152115,5.015759675852831,6550500
2010-02-25,5.061849594116211,5.069983443850265,4.956111874633333,4.961534699684903,5906400
2010-02-26,5.051004886627197,5.088962333268231,5.004913978451145,5.051004886627197,5703000
2010-03-01,5.097095966339111,5.099806990994258,5.0347377451511575,5.069983392727854,5836500
2010-03-02,5.219101905822754,5.270614873838114,5.137765334343211,5.1404763594708465,10055100
2010-03-03,5.270613670349121,5.3058593160206025,5.221811738604802,5.246212510555323,7612200
2010-03-04,5.354660511016846,5.3871951277032855,5.235367304343124,5.235367304343124,10386000
2010-03-05,5.430574417114258,5.452263381990659,5.338392244036432,5.338392244036432,10438200
2010-03-08,5.441420555114746,5.446843379748482,5.354661178624051,5.3980410607910345,8087700
2010-03-09,5.463109493255615,5.487510259545319,5.395328466459452,5.403461925941624,7794300
2010-03-10,5.482089996337891,5.49022384746191,5.430577415821485,5.460400243798329,9172500
2010-03-11,5.487512111663818,5.495645961734476,5.425153887266507,5.425153887266507,5084400
2010-03-12,5.503778457641602,5.536313076525362,5.487511148199721,5.4983560211609745,4017600
2010-03-15,5.498356819152832,5.506490281132579,5.3790628114223225,5.503779256420432,8693100
2010-03-16,5.490222454071045,5.51733425002129,5.460398857976543,5.495645278673018,8693700
2010-03-17,5.560715675354004,5.606805815616102,5.4793791070708435,5.517335396582951,8184000
2010-03-18,5.620361328125,5.658318775925541,5.585115680657779,5.5932495302845515,7291800
2010-03-19,5.701699256896973,5.7125437451984835,5.590538694646955,5.655607951516207,12896700
2010-03-22,5.639340877532959,5.669164482123524,5.558004302981483,5.647474728909797,6894000
2010-03-23,5.677295684814453,5.682718508431301,5.614937479495898,5.623070939234771,5538300
2010-03-24,5.690854072570801,5.723388699243554,5.623073018570885,5.6393403319072615,6949500
2010-03-25,5.685431003570557,5.7505006419739475,5.677297541172212,5.698987679202227,6603000
2010-03-26,5.707120895385742,5.774901167873324,5.652896134415043,5.774901167873324,6141000
2010-03-29,5.736944198608398,5.7559233125551295,5.704409572011168,5.715255223230263,4236300
2010-03-30,5.709831237792969,5.772189453359286,5.698986752306722,5.745076882192246,4555500
2010-03-31,5.726099014282227,5.7830347978222445,5.6664525939538954,5.6664525939538954,5974200
2010-04-01,5.7342329025268555,5.788457273957579,5.693564430032163,5.772189962528362,6013500
2010-04-05,5.858950138092041,5.875217453877897,5.750501754029729,5.766769069815586,7216500
