Price,Close,High,Low,Open,Volume
Ticker,TFX,TFX,TFX,TFX,TFX
Date,,,,,
2010-01-04,47.31972885131836,47.69494267508909,47.012734244130314,47.48175233710032,288400
2010-01-05,46.81660842895508,47.32826403624421,46.79102337147171,47.31120841559763,205900
2010-01-06,47.2856330871582,47.35385232606046,46.68017310990549,46.84219664869739,303400
2010-01-07,47.72053527832031,47.81433956875632,47.20035021537674,47.42207003877587,110100
2010-01-08,48.001930236816406,48.036041466614286,47.5840758043572,47.70346185562385,66600
2010-01-11,51.75408172607422,52.41923774699324,48.80352843159559,49.13610481554201,448700
2010-01-12,51.31917190551758,52.46187210218347,51.19125641775366,51.66027770420405,196700
2010-01-13,51.16569519042969,52.2828140398439,50.159436258109054,51.68588027868343,118100
2010-01-14,51.003662109375,51.51531766425814,50.70519365817093,51.242434267916906,191300
2010-01-15,50.159427642822266,51.148630783145855,50.11679022142569,50.67108320563467,225900
2010-01-19,51.88200759887695,51.92464502147076,50.31292637502625,50.31292637502625,213600
2010-01-20,51.66029739379883,51.77968349293363,50.884281243368186,51.702934821628794,111400
2010-01-21,51.259490966796875,52.10372297544376,50.926914523813146,51.48120751111044,124400
2010-01-22,50.159427642822266,51.10599336174928,49.997404140304575,51.09746392565392,177100
2010-01-25,49.912132263183594,50.56023286005657,49.596611401905164,50.261764367039994,156300
2010-01-26,49.929176330566406,50.329975205542546,49.60512610711705,49.73304161067048,103800
2010-01-27,49.82686233520508,49.98888587392596,49.4601745738122,49.767169281306465,154300
2010-01-28,49.724510192871094,50.031501513627816,49.46015303144125,49.82684063312333,72100
2010-01-29,48.74384689331055,50.07415599576052,48.59887900070498,49.62219019163749,235600
2010-02-01,49.22139358520508,49.28961281191833,48.41979571339292,48.88028769255818,113500
2010-02-02,49.920650482177734,50.091203403713834,49.11052654465105,49.11052654465105,71500
2010-02-03,49.71599578857422,50.219125213705865,49.26403322555033,49.94624178851857,68300
2010-02-04,48.55622863769531,49.50279422821379,48.513591222082816,49.460156812601284,85800
2010-02-05,48.411258697509766,48.51358914119578,47.74610593401144,48.47095172741212,144600
2010-02-08,48.79500961303711,49.18727908647274,48.34304384727055,48.590345440403446,122700
2010-02-09,49.33224868774414,49.391941729130814,48.65004017687735,48.93997920062408,115300
2010-02-10,48.922908782958984,49.289596356576276,48.70119230387741,49.07640605810231,77400
2010-02-11,49.246978759765625,49.30667180711105,48.65857447034909,48.8205979912828,75000
2010-02-12,49.33224868774414,49.37488936275757,48.505072291517365,48.83764873725076,132300
2010-02-16,50.398193359375,50.47494200928375,49.076413946969986,49.5880726973704,82900
2010-02-17,50.389686584472656,50.73079254944643,50.25324484908866,50.61140318458631,120400
2010-02-18,50.329978942871094,50.55169547873104,48.78647961556261,50.55169547873104,242200
2010-02-19,50.9525032043457,50.96102938861279,50.0571042170505,50.27029460702685,114700
2010-02-22,50.85869216918945,51.18274242983701,50.60286438574212,51.1486311912369,83800
2010-02-23,50.99514389038086,51.16569686386589,50.17649352128558,50.679623003901355,159800
2010-02-24,50.943965911865234,51.57500750690283,50.00592644869034,50.99512951236605,212100
2010-02-25,50.901329040527344,51.02924455738123,49.255499205676045,50.48347775778786,128300
2010-02-26,51.9672737121582,52.07813359469611,50.841629029080856,51.07187497603208,153400
2010-03-01,52.60186767578125,52.69619825184213,52.0101621595059,52.18166872913136,115800
2010-03-02,54.222633361816406,54.29981263291573,52.85056106591543,52.85056106591543,228600
2010-03-03,54.205482482910156,54.59137884149439,53.93964531354645,54.02539860599698,152700
2010-03-04,53.7767219543457,54.49706090039604,53.56233540220309,54.171192425181104,183500
2010-03-05,54.548492431640625,54.64282299921904,53.793851162291105,54.03396295519775,303000
2010-03-08,54.23978042602539,54.651402082554895,54.102573207182225,54.3598363336034,95100
2010-03-09,54.119712829589844,54.5313343972167,53.896749102576905,54.239768711238,78200
2010-03-10,53.939640045166016,54.26550514167295,53.836732178742466,54.26550514167295,213000
2010-03-11,53.21931076049805,53.699534470398696,52.99634694837674,53.648083799354296,223000
2010-03-12,53.373680114746094,53.536612724815654,52.73909444948692,53.23647284540348,132500
2010-03-15,53.107818603515625,53.49371491825591,52.824826882280064,53.21072319702035,112000
2010-03-16,53.26218032836914,53.759555286246325,52.790530702593706,53.31363099257264,188900
2010-03-17,53.733829498291016,53.931064675713735,53.10782134265937,53.485140385823065,59600
2010-03-18,54.53992462158203,54.60852987221087,53.373664802397286,53.66523057501308,94900
2010-03-19,53.80242919921875,54.565644498356086,53.46798356281578,53.80242919921875,241900
2010-03-22,54.651390075683594,54.75429464938837,53.18498763310015,53.40794808800675,145200
2010-03-23,54.90867233276367,55.02872825591759,54.07685489179212,54.86579568467707,108900
2010-03-24,53.828155517578125,54.91723918253519,53.73382494695758,54.908661891781726,161700
2010-03-25,54.265506744384766,54.71143103155605,53.86246237179545,54.39413994557429,174200
2010-03-26,54.00825500488281,54.53135866884692,53.596633254045216,54.479904723262635,86000
2010-03-29,55.32884979248047,55.337427082032434,54.111136378299506,54.19689291743178,141300
2010-03-30,55.27741622924805,55.740491869889354,55.200240227086326,55.59471061521255,92400
2010-03-31,54.94296646118164,55.74048442309119,54.94296646118164,55.2774088443157,116400
2010-04-01,55.14021301269531,55.45750086039501,54.59995482002685,55.1487837624579,89600
2010-04-05,55.5003776550293,55.56040561277349,55.123055324890494,55.3374418229136,69400
2010-04-06,55.30314254760742,55.45750109723519,54.95155207168463,54.96012282148383,113800
2010-04-07,55.217376708984375,55.33743260447315,54.565643302926276,55.04587015615917,130600
2010-04-08,54.59135818481445,55.0201342986589,54.35124643978547,54.977254397380435,95400
2010-04-09,54.857208251953125,54.87435956125029,54.445586642654504,54.565642536456885,119800
2010-04-12,54.462738037109375,54.994415572976656,54.43701270721711,54.994415572976656,178600
2010-04-13,54.617095947265625,54.75430315728416,54.20547431721002,54.3255302170665,127100
2010-04-14,56.35790252685547,56.36647981547791,54.65138520275079,54.65996249137323,158300
2010-04-15,56.07492446899414,56.52942273776819,55.80051004958967,56.16067774832882,144600
2010-04-16,55.23454284667969,56.04063166468516,55.20024022042629,56.04063166468516,99500
2010-04-19,55.48320770263672,55.6547207790805,54.92580819622038,54.994406884243,119000
2010-04-20,56.61517333984375,56.65805324876127,55.620423570001414,55.620423570001414,75700
2010-04-21,56.22928237915039,56.62375269385752,56.057775822340595,56.495119504972294,106400
2010-04-22,55.27741622924805,55.714766535835444,54.67713335485508,55.714766535835444,163000
2010-04-23,55.99774169921875,56.48654252904568,55.31170246250672,55.46606096363918,154600
2010-04-26,55.61184310913086,56.47796618795175,55.457484605405895,56.06634133050014,128200
2010-04-27,52.78196334838867,54.44560492478748,52.26743698181351,54.28266906739156,504400
2010-04-28,53.26218032836914,53.72525593387007,52.867709970177195,52.996339901964184,233600
2010-04-29,54.31695556640625,54.53991605336612,53.71667280282183,53.75097542274732,190900
2010-04-30,52.584716796875,55.06302404090833,52.55041417415664,54.52277245384596,236000
2010-05-03,53.159271240234375,53.32220378191881,52.43035526987377,52.73907231414152,221900
2010-05-04,51.907249450683594,52.73906997514932,51.75289093539556,52.73906997514932,103400
2010-05-05,51.3584098815918,51.71858076565972,50.475138884367325,51.68427815360047,133300
2010-05-06,50.106407165527344,51.555658557907726,48.4513433179209,51.041132326759595,176100
2010-05-07,49.840572357177734,50.63809039492983,49.09450825683099,50.20931739705358,428700
2010-05-10,51.23836898803711,52.19881950750354,50.6466634778019,52.19024548762104,121100
2010-05-11,51.332698822021484,51.68429251513349,50.75814135984642,50.96395381811401,127100
2010-05-12,52.19513702392578,52.4193711269623,51.05671064550939,51.52243142485184,149600
2010-05-13,51.349937438964844,52.13476166663618,51.151575633065946,51.884652015299444,115600
2010-05-14,49.87517547607422,51.091222295791816,49.676810312250396,51.091222295791816,224800
2010-05-17,50.34950256347656,50.65135677292428,49.07308530786828,50.185636029807114,269000
2010-05-18,50.185646057128906,51.05671687551764,50.09077992232218,50.9014765967942,126200
2010-05-19,49.7371826171875,49.92692149767194,49.17659555479352,49.92692149767194,196400
2010-05-20,48.08990478515625,49.1162158652129,47.977789366802874,48.80573531292567,239500
2010-05-21,48.10715866088867,48.34001909732473,47.063601486092516,47.38270506640931,155800
2010-05-24,48.21928024291992,48.71087343015153,47.66731619339428,48.08991222945255,113200
2010-05-25,47.7880744934082,47.83119608286575,46.56340424498857,47.22748396056089,160200
2010-05-26,47.5379524230957,48.44351872830107,47.348216820364016,47.80531147280856,147300
2010-05-27,49.08171844482422,49.08171844482422,47.82255021101783,48.391763473558036,99300
2010-05-28,48.36588668823242,49.055841595275886,48.32276183344604,48.96097217868907,120100
2010-06-01,47.451698303222656,48.84023451904936,47.451698303222656,48.14165326730788,116600
2010-06-02,49.004093170166016,49.004093170166016,46.96872375072811,47.52068766990494,153300
2010-06-03,49.055843353271484,49.33182532597913,48.71949052965683,48.797110665103645,100100
2010-06-04,47.313697814941406,48.22788672514745,47.14983128200702,47.94328179893972,96400
2010-06-07,47.1412239074707,47.468953791976844,46.76174945012399,47.443078215591356,269400
2010-06-08,46.47713851928711,47.22746439285925,45.89067593374692,47.22746439285925,137100
2010-06-09,46.313262939453125,47.28782599058815,46.15802269095501,46.468503187951235,186500
2010-06-10,48.184783935546875,48.34865053231464,46.779001458850665,46.779001458850665,140200
2010-06-11,48.59874725341797,48.65911810645607,47.47757003846992,47.49481932361863,129000
